id,value
flare,
flare.RX,
flare.RX.10-15 gen3,
flare.RX.10-15 gen3.CFM PT206-48060-20 TAN,500
flare.RX.10-15 gen3.CFM PT206-48060-40 BLK,500
flare.RX.16-22 gen4,
flare.RX.16-22 gen4.CFM PT206-48080-20 TAN,500
flare.RX.16-22 gen4.CFM PT206-48080-40 BLK,500
flare.RX.23-2? gen5,
flare.RX.23-2? gen5.CFM PT206-48090-20 TAN,500
flare.RX.23-2? gen5.CFM PT206-48090-40 BLK,50
flare.NX,
flare.NX.15-21 gen1,
flare.NX.15-21 gen1.CFM,
flare.NX.15-21 gen1.CFM.PT206-78060-20 BLK,500
flare.NX.15-21 gen1.CFM.PT206-78060-40 TAN,500
flare.NX.15-21 gen1.DEG,
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 1J7,500
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 217,500
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 213,500
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 4T5,500
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 077,500
flare.NX.15-21 gen1.DEG.PT926-780XX-C0 085,500
flare.NX.15-21 gen1.DEG.PT926-33075-LH,500
flare.NX.15-21 gen1.DEG.PT926-33075-RH,500
flare.NX.22-2# gen2,
flare.NX.22-2# gen2.CFM,
flare.NX.22-2# gen2.CFM.PT206-78080-20 TAN,500
flare.NX.22-2# gen2.CFM.PT206-78080-40 BLK,50
