id,value
flare,
flare.4700,
flare.4700.4700,
flare.4700.4700.4700 Parts customer pay ro,125
flare.4720,
flare.4720.4720,
flare.4720.4720.4720 Parts Warranty ro sales Lexus,25
flare.4725,
flare.4725.4725,
flare.4725.4725.4725 Tire sales Customer pay only,35
flare.4755,
flare.4755.4755,
flare.4755.4755.4755 Tire sales Internal ro tires only,15
flare.4730,
flare.4730.4730,
flare.4730.4730.4730 Parts Internal parts sales, 25
flare.4740,
flare.4740.4740,
flare.4740.4740.4740 Parts Counter retail,20
flare.4750,
flare.4750.4750,
flare.4750.4750.4750 Wholesale Lexus,25
flare.4770,
flare.4770.4770,
flare.4770.4770.4770 Gas oil grease Sub-inventories Sources ___200 _201_ _202 Inventories 2430 2431 2432 ,25
flare.4707,
flare.4707.4707,
flare.4707.4707.4707 Accessories Customer pay ro,5
flare.4727,
flare.4727.4727,
flare.4727.4727.4727 Accessory  Warranty claims Lexus N-a,5
flare.4737,
flare.4737.4737,
flare.4737.4737.4737 Accessories internal,5
flare.4747,
flare.4747.4747,
flare.4747.4747.4747 Accessory  Counter retail sales Lexus,5
flare.4757,
flare.4757.4757,
flare.4757.4757.4757 Parts and Accessories  other N-a,5
flare.4767,
flare.4767.4767,
flare.4767.4767.4767 Accessories  Wholesale accessory - Lexus N-a,5
