id,value
flare,
flare.COUPE,
flare.COUPE.LFA,
flare.COUPE.LFA.LFA10,
flare.COUPE.LFA.LFA10.HX8BH,10000
flare.COUPE.RC,
flare.COUPE.RC.G1,
flare.COUPE.RC.G1.SM5BC,1
flare.COUPE.RC.G1.SE5BC,41
flare.COUPE.RC.G1.HP5BC,9
flare.COUPE.RC.G1.BA5BC,1
flare.COUPE.SC,
flare.COUPE.SC.G1,
flare.COUPE.SC.G1.UZ30C,22
flare.COUPE.SC.G1.JZ31C,20
flare.COUPE.SC.G1.JS47E,7
flare.COUPE.SC.G1.CH32Y,6
flare.COUPE.SC.G1.CD32Z,9
flare.COUPE.SC.G2,
flare.COUPE.SC.G2.FN48Y,245
flare.COUPE.SC.G2.FN45Y,24
flare.COUPE.SC.G2.FN2EY,1
flare.COUPE.LC,
flare.COUPE.LC.G1,
flare.COUPE.LC.G1.HP5AY,5
flare.COUPE.LC.G1.HH5AY,3
flare.MPV,
flare.MPV.RX,
flare.MPV.RX.G1,
flare.MPV.RX.G1.HF10U,1266
flare.MPV.RX.G1.GF10U,65
flare.MPV.RX.G2,
flare.MPV.RX.G2.HW31U,703
flare.MPV.RX.G2.HK31U,1904
flare.MPV.RX.G2.HA31U,3877
flare.MPV.RX.G2.GW31U,5
flare.MPV.RX.G2.GK31U,36
flare.MPV.RX.G2.GA31U,61
flare.MPV.RX.G3,
flare.MPV.RX.G3.BK1BA,3785
flare.MPV.RX.G3.BC1BA,486
flare.MPV.RX.G3.ZK1BA,89
flare.MPV.RX.G3.ZB1BA,11
flare.MPV.RX.G4,
flare.MPV.RX.G4.ZZMCAX,1
flare.MPV.RX.G4.BZMCA,300
flare.MPV.RX.G4.BGMCA,18
flare.MPV.RX.G4.ZGMCA,18
flare.MPV.LX,
flare.MPV.LX.G1,
flare.MPV.LX.G1.HJ88J,13
flare.MPV.LX.G2,
flare.MPV.LX.G2.HT00W,340
flare.MPV.LX.G3,
flare.MPV.LX.G3.HY7AX,104
flare.MPV.LX.G3.HY00W,45
flare.MPV.GX,
flare.MPV.GX.G1,
flare.MPV.GX.G1.BT20X,511
flare.MPV.GX.G2,
flare.MPV.GX.G2.JM7FX,155
flare.MPV.GX.G2.BM7FX,993
flare.SEDAN,
flare.SEDAN.ES,
flare.SEDAN.ES.G1,
flare.SEDAN.ES.G1.VV22T,11
flare.SEDAN.ES.G1.VK13T,24
flare.SEDAN.ES.G1.GK13T,32
flare.SEDAN.ES.G2,
flare.SEDAN.ES.G2.BF28G,408
flare.SEDAN.ES.G2.BF22G,66
flare.SEDAN.ES.G2.BF12G,30
flare.SEDAN.ES.G3,
flare.SEDAN.ES.G3.BF30G,514
flare.SEDAN.ES.G3.BA30G,1145
flare.SEDAN.ES.G4,
flare.SEDAN.ES.G4.BK1EG,812
flare.SEDAN.ES.G4.BJ46G,1469
flare.SEDAN.ES.G5,
flare.SEDAN.ES.G5.BW1GG,203
flare.SEDAN.ES.G5.BK1GG,762
flare.SEDAN.GS,
flare.SEDAN.GS.G1,
flare.SEDAN.GS.G1.BD42S,4
flare.SEDAN.GS.G2,
flare.SEDAN.GS.G2.BL69S,46
flare.SEDAN.GS.G2.BH68X,47
flare.SEDAN.GS.G2.BD69S,158
flare.SEDAN.GS.G2.BD68S,128
flare.SEDAN.GS.G3,
flare.SEDAN.GS.G3.CH96S,257
flare.SEDAN.GS.G3.CE96S,433
flare.SEDAN.GS.G3.CE1KS,119
flare.SEDAN.GS.G3.BN96S,13
flare.SEDAN.GS.G3.BL96S,1
flare.SEDAN.GS.G3.BL1KS,0
flare.SEDAN.GS.G3.BH96S,15
flare.SEDAN.GS.G3.BE96S,6
flare.SEDAN.GS.G3.BE1KS,1
flare.SEDAN.GS.G3.BC96S,16
flare.SEDAN.GS.G3.BC1KS,1
flare.SEDAN.GS.G4,
flare.SEDAN.GS.G4.CZ1BL,11
flare.SEDAN.GS.G4.CE1BL,386
flare.SEDAN.GS.G4.BZ1BL,0
flare.SEDAN.GS.G4.BP1BL,3
flare.SEDAN.GS.G4.BE1BL,7
flare.SEDAN.HS,
flare.SEDAN.HS.ANF10,
flare.SEDAN.HS.ANF10.BB1BA,137
flare.SEDAN.IS,
flare.SEDAN.IS.G1,
flare.SEDAN.IS.G1.ED192,9
flare.SEDAN.IS.G1.BD192,137
flare.SEDAN.IS.G1.BD182,69
flare.SEDAN.IS.G2,
flare.SEDAN.IS.G2.FF2C2,81
