id,value
flare,
flare.RX,
flare.RX.99-19,
flare.RX.99-19.48^^^,
flare.RX.99-19.48^^^.48010,1
flare.RX.99-19.48^^^.48100,1
flare.RX.99-19.0E^^^,
flare.RX.99-19.0E^^^.0E010,1
flare.RX.99-19.0E^^^.0E100,1
flare.ES,
flare.ES.92-19,
flare.ES.92-19.33^^^,
flare.ES.92-19.33^^^.33010,1
flare.ES.92-19.33^^^.33100,1
flare.ES.13-18,
flare.ES.13-18.06^^^,
flare.ES.13-18.06^^^.06240,1
flare.ES.13-18.06^^^.06450,1 
flare.GS,
flare.GS.98-19,
flare.GS.98-19.30^^^,
flare.GS.98-19.30^^^.30010,1
flare.GS.98-19.30^^^.30230,1
flare.GS.98-19.30^^^.30360,1
flare.GS.98-19.30^^^.30A10,1
flare.IS,
flare.IS.01-19,
flare.IS.01-19.53^^0,
flare.IS.01-19.53^^0.53010,1
flare.IS.01-19.53^^0.53011,1
flare.IS.01-19.53^^0.53020,1
flare.IS.01-19.53^^0.53021,1
flare.IS.01-19.53^^0.5E900,1
flare.LS,
flare.LS.90-19,
flare.LS.90-19.50^^^,
flare.LS.90-19.50^^^.50010,1
flare.LS.90-19.50^^^.50020,1
flare.LS.90-19.50^^^.50030,1
flare.LS.90-19.50^^^.50040,1
flare.LS.90-19.50^^^.50050,1
flare.LS.90-19.50^^^.50550,1
flare.GX,
flare.GX.03-19,
flare.GX.03-19.35^^^,
flare.GX.03-19.35^^^.35010,1
flare.GX.03-19.35^^^.35011,1
flare.GX.03-19.60^^^,
flare.GX.03-19.60^^^.60050,1
flare.LX,
flare.LX.98-19,
flare.LX.98-19.60^^^,
flare.LX.98-19.60^^^.60010,1
flare.LX.98-19.60^^^.60050,1
flare.LX.98-19.60^^^.60120,1
flare.LC,
flare.LC.18-19,
flare.LC.18-19.11^^^,
flare.LC.18-19.11^^^.11010,1
flare.LC.18-19.11^^^.11020,1
flare.SC,
flare.SC.92-09,
flare.SC.92-09.24^^^,
flare.SC.92-09.24^^^.24010,1
flare.SC.92-09.24^^^.24050,1
flare.SC.92-09.24^^^.24100,1
flare.RC,
flare.RC.15-19,
flare.RC.15-19.24^^^,
flare.RC.15-19.24^^^.24010,1
flare.RC.15-19.24^^^.24110,1
flare.RC.15-19.24^^^.24930,1
flare.RC.15-19.24^^^.24030,1
flare.RC.15-19.53^^^,
flare.RC.15-19.53^^^.53010,1
flare.CT,
flare.CT.11-17,
flare.CT.11-17.12^^^,
flare.CT.11-17.12^^^.12010,1
flare.CT.11-17.12^^^.12110,1
flare.CT.11-17.76^^^,
flare.CT.11-17.76^^^.76030,1
flare.CT.11-17.76^^^.76100,1
flare.UX,
flare.UX.19-19,
flare.UX.19-19.76^^^,
flare.UX.19-19.76^^^.76900,1
flare.UX.19-19.76^^^.76901,1
flare.UX.19-19.47^^^,
flare.UX.19-19.47^^^.47010,1
flare.UX.19-19.47^^^.47011,1
flare.NX,
flare.NX.15-19,
flare.NX.15-19.78^^^,
flare.NX.15-19.78^^^.78010,1
flare.NX.15-19.78^^^.78011,1
flare.NX.15-19.78^^^.78020,1
flare.NX.15-19.78^^^.78021,1
flare.NX.15-19.78^^^.78901,1
