id,value
flare,
flare.(1)ENGINE,
flare.(1)ENGINE.0xxxx-xxxxx,
flare.(1)ENGINE.0xxxx-xxxxx.04152,
flare.(1)ENGINE.0xxxx-xxxxx.04152.1836 Oil Filter,1
flare.(1)ENGINE.0xxxx-xxxxx.00544,
flare.(1)ENGINE.0xxxx-xxxxx.00544.2330 Battery,1
flare.(1)ENGINE.1xxxx-xxxxx,
flare.(1)ENGINE.1xxxx-xxxxx.11101,
flare.(1)ENGINE.1xxxx-xxxxx.11101.na-0000 Cylinder Head na-0000,1
flare.(1)ENGINE.1xxxx-xxxxx.12204,
flare.(1)ENGINE.1xxxx-xxxxx.12204.1745 PCV Valve,1
flare.(1)ENGINE.1xxxx-xxxxx.13568,
flare.(1)ENGINE.1xxxx-xxxxx.13568.0724 timing belt,1
flare.(1)ENGINE.1xxxx-xxxxx.16x,
flare.(1)ENGINE.1xxxx-xxxxx.16x.16100,
flare.(1)ENGINE.1xxxx-xxxxx.16x.16100.1069 Water Pump,1
flare.(1)ENGINE.1xxxx-xxxxx.16x.16041,
flare.(1)ENGINE.1xxxx-xxxxx.16x.16041.1219 Radiator,1
flare.(1)ENGINE.1xxxx-xxxxx.17801,
flare.(1)ENGINE.1xxxx-xxxxx.17801.3410 Engine Air Filter,1
flare.(1)ENGINE.1xxxx-xxxxx.17410,
flare.(1)ENGINE.1xxxx-xxxxx.17410.3685 Front Exhaust Pipe,1
flare.(1)ENGINE.1xxxx-xxxxx.17176,
flare.(1)ENGINE.1xxxx-xxxxx.17176.3270 Surge/intake plnm Gasket,1
flare.(1)ENGINE.2x,
flare.(1)ENGINE.2x.27060,
flare.(1)ENGINE.2x.27060.2275 Alternator,1
flare.(1)ENGINE.2x.28100,
flare.(1)ENGINE.2x.28100.2041 Starter,1
flare.(1)ENGINE.2x.23209,
flare.(1)ENGINE.2x.23209.3300 Fuel Injector,1
flare.(1)ENGINE.9x, 
flare.(1)ENGINE.9x.90919,
flare.(1)ENGINE.9x.90919.2170 Coils & Plugs,1
flare.(1)ENGINE.9x.90915,
flare.(1)ENGINE.9x.90915.1836 Oil Filter,1
flare.(2)CHASSIS,
flare.(2)CHASSIS.0x,
flare.(2)CHASSIS.0x.04465,
flare.(2)CHASSIS.0x.04465.5017 Front brake pads,1
flare.(2)CHASSIS.0x.04466,
flare.(2)CHASSIS.0x.04466.5017 Rear brake pads,1
flare.(2)CHASSIS.3x,
flare.(2)CHASSIS.3x.30500,
flare.(2)CHASSIS.3x.30500.4003 Transmission,1
flare.(2)CHASSIS.3x.32907,
flare.(2)CHASSIS.3x.32907.4128 Transmission Cooler & Lines,1
flare.(2)CHASSIS.3x.37100,
flare.(2)CHASSIS.3x.37100.5544 Propeller/Driveshaft,1
flare.(2)CHASSIS.4x,
flare.(2)CHASSIS.4x.42410,
flare.(2)CHASSIS.4x.42410.5386 Axle,1
flare.(2)CHASSIS.4x.42431,
flare.(2)CHASSIS.4x.42431.5806 Rear Rotor & Bearing,1
flare.(2)CHASSIS.4x.43512,
flare.(2)CHASSIS.4x.43512.5809 Front Rotor & Bearing,1
flare.(2)CHASSIS.4x.42601,
flare.(2)CHASSIS.4x.42601.5803 Wheels,1
flare.(2)CHASSIS.4x.42603,
flare.(2)CHASSIS.4x.42603.Wheels Center Cap,1
flare.(2)CHASSIS.4x.42607,
flare.(2)CHASSIS.4x.42607.5890 TPMS,1
flare.(2)CHASSIS.4x.4520,
flare.(2)CHASSIS.4x.4520.6526 Steering Shaft,1
flare.(2)CHASSIS.4x.48510,
flare.(2)CHASSIS.4x.48510.6168 Front Suspension,1
flare.(2)CHASSIS.4x.48530,
flare.(2)CHASSIS.4x.48530.5382 Rear Struts,1
flare.(3)BODY,
flare.(3)BODY.5x,
flare.(3)BODY.5x.52119,
flare.(3)BODY.5x.52119.7831 Front Bumper Cover,1
flare.(3)BODY.5x.52159,
flare.(3)BODY.5x.52159.7831 Rear Bumper Cover,1
flare.(3)BODY.5x.5311,
flare.(3)BODY.5x.5311.1266 Grille,1
flare.(3)BODY.5x.53301,
