id,value
flare,
flare.CT,
flare.CT.G1,
flare.CT.G1.kd5bh,750
flare.ES,
flare.ES.G1,
flare.ES.G2,
flare.ES.G3,
flare.ES.G4,
flare.ES.G5,
flare.ES.G6,
flare.ES.G6.bz1b1,250
flare.ES.G6.b21b1,250
flare.ES.G5.bk1gg,1562
flare.ES.G5.bw1gg,762
flare.ES.G4.bk1eg,812
flare.ES.G4.bj46g,1469
flare.ES.G3.bf30g,514
flare.ES.G3.ba30g,1145
flare.ES.G2.bf28g,400
flare.ES.G2.bf22g,250
flare.ES.G2.bf12g,250
flare.ES.G1.vv22t,250
flare.ES.G1.vk13t,250
flare.ES.G1.gk13t,250
flare.GS,
flare.GS.G1,
flare.GS.G2,
flare.GS.G3,
flare.GS.G4,
flare.GS.G4.cz1bl,250
flare.GS.G4.ce1bl,586
flare.GS.G4.bz1bl,250
flare.GS.G4.bp1bl,250
flare.GS.G4.be1bl,250
flare.GS.G3.ch96s,257
flare.GS.G3.ce96s,433
flare.GS.G3.ce1ks,119
flare.GS.G3.bn96s,250
flare.GS.G3.bl96s,250
flare.GS.G3.bl1ks,250
flare.GS.G3.bh96s,250
flare.GS.G3.be96s,250
flare.GS.G3.be1ks,250
flare.GS.G3.bc96s,250
flare.GS.G3.bc1ks,250
flare.GS.G2.bl69s,250
flare.GS.G2.bh68x,250
flare.GS.G2.bd69s,250
flare.GS.G2.bd68s,250
flare.GS.G1.bd42s,250
flare.GX,
flare.GX.G1,
flare.GX.G2,
flare.GX.G1.bt20x,993
flare.GX.G2.jm7fx,250
flare.GX.G2.bm7fx,411
flare.HS,
flare.HS.G1,
flare.HS.G1.bb1ba,500
flare.IS,
flare.IS.G1,
flare.IS.G2,
flare.IS.G3,
flare.IS.G3.cm1d2,250
flare.IS.G3.c81d2,250
flare.IS.G3.cz1d2,250
flare.IS.G3.cf1d2,250
flare.IS.G3.ce1d2,250
flare.IS.G3.bf1d2,250
flare.IS.G3.be1d2,250
flare.IS.G2.ff2c2,250
flare.IS.G2.fe2c2,100
flare.IS.G2.ck262,2083
flare.IS.G2.cf5c2,462
flare.IS.G2.ce5c2,250
flare.IS.G2.bp5c2,250
flare.IS.G2.bp262,250
flare.IS.G2.bk262,250
flare.IS.G2.bf5c2,250
flare.IS.G2.be5c2,250
flare.IS.G2.be262,250
flare.IS.G1.ed192,250
flare.IS.G1.bd192,550
flare.IS.G1.bd182,250
flare.LC,
flare.LC.GWZ100,
flare.LC.GWZ100.hp5ay,250
flare.LFA,
flare.LFA.LFA10,
flare.LFA.LFA10.hx8bh,250
flare.LS,
flare.LS.G1,
flare.LS.G2,
flare.LS.G3,
flare.LS.G4,
flare.LS.G5,
flare.LS.G5.c5lff,250
flare.LS.G5.c51ff,250
flare.LS.G4.gl5ef,250
flare.LS.G4.gl46f,250
flare.LS.G4.gl1ef,250
flare.LS.G4.du46f,250
flare.LS.G4.du1ef,250
flare.LS.G4.dl5ef,250
flare.LS.G4.dl46f,250
flare.LS.G4.dl1ef,250
flare.LS.G4.cl5ef,192
flare.LS.G4.cl46f,250
flare.LS.G4.bl5ef,250
flare.LS.G4.bl46f,195
flare.LS.G4.bl1ef,250
flare.LS.G3.bn36f,250
flare.LS.G3.bn30f,250
flare.LS.G2.bh28f,250
flare.LS.G1.uf22e,250
flare.LS.G1.uf11e,250
flare.LX,
flare.LX.G1,
flare.LX.G2,
flare.LX.G3,
flare.LX.G3.hy7ax,704
flare.LX.G3.hy00w,300
flare.LX.G2.ht00w,400
flare.LX.G1.hj88j,250
flare.NX,
flare.NX.G1,
flare.NX.G1.ywrbz,250
flare.NX.G1.bjrbz,250
flare.NX.G1.yarbz,250
flare.NX.G1.barbz,3500
flare.RC,
flare.RC.G1,
flare.RC.G1.sm5bc,250
flare.RC.G1.se5bc,250
flare.RC.G1.hp5bc,250
flare.RC.G1.ba5bc,250
flare.RC.G1.s85bc,250
flare.RC.G1.sz5bc,250
flare.RC.G1.hz5bc,250
flare.RC.G1.ha5bc,250
flare.RX,
flare.RX.G1,
flare.RX.G2,
flare.RX.G3,
flare.RX.G4,
flare.RX.G4.zzmca,200
flare.RX.G4.dgkca,1100
flare.RX.G4.dzkca,1100
flare.RX.G4.bzmca,3300
flare.RX.G4.bgmca,2200
flare.RX.G3.zk1ba,200
flare.RX.G3.zb1ba,200
flare.RX.G3.bk1ba,5000
flare.RX.G3.bc1ba,2500
flare.RX.G2.hw31u,2500
flare.RX.G2.hk31u,2000
flare.RX.G2.ha31u,2500
flare.RX.G2.gw31u,250
flare.RX.G2.gk31u,250
flare.RX.G2.ga31u,250
flare.RX.G1.hf10u,1250
flare.RX.G1.gf10u,250
flare.SC,
flare.SC.G1,
flare.SC.G2,
flare.SC.G2.fn48y,500
flare.SC.G2.fn45y,250
flare.SC.G2.fn2ey,250
flare.SC.G1.uz30c,250
flare.SC.G1.jz31c,250
flare.SC.G1.js47e,250
flare.SC.G1.ch32y,250
flare.SC.G1.cd32z,250
flare.UX,
flare.UX.GAS,
flare.UX.GAS.Y3JBH,350
flare.UX.HYBRID,
flare.UX.HYBRID.U9JBH,350
