id,value
flare,
flare.CT,
flare.CT.G1,
flare.CT.G1.kd5bh,500
flare.ES,
flare.ES.G1,
flare.ES.G2,
flare.ES.G3,
flare.ES.G4,
flare.ES.G5,
flare.ES.G5.bw1gg,250
flare.ES.G5.bk1gg,762
flare.ES.G4.bk1eg,812
flare.ES.G4.bj46g,1469
flare.ES.G3.bf30g,514
flare.ES.G3.ba30g,1145
flare.ES.G2.bf28g,400
flare.ES.G2.bf22g,50
flare.ES.G2.bf12g,50
flare.ES.G1.vv22t,35
flare.ES.G1.vk13t,35
flare.ES.G1.gk13t,35
flare.GS,
flare.GS.G1,
flare.GS.G2,
flare.GS.G3,
flare.GS.G4,
flare.GS.G4.cz1bl,100
flare.GS.G4.ce1bl,586
flare.GS.G4.bz1bl,100
flare.GS.G4.bp1bl,100
flare.GS.G4.be1bl,100
flare.GS.G3.ch96s,257
flare.GS.G3.ce96s,433
flare.GS.G3.ce1ks,119
flare.GS.G3.bn96s,100
flare.GS.G3.bl96s,100
flare.GS.G3.bl1ks,100
flare.GS.G3.bh96s,100
flare.GS.G3.be96s,100
flare.GS.G3.be1ks,100
flare.GS.G3.bc96s,100
flare.GS.G3.bc1ks,100
flare.GS.G2.bl69s,50
flare.GS.G2.bh68x,50
flare.GS.G2.bd69s,250
flare.GS.G2.bd68s,150
flare.GS.G1.bd42s,15
flare.GX,
flare.GX.G1,
flare.GX.G2,
flare.GX.G1.bt20x,993
flare.GX.G2.jm7fx,100
flare.GX.G2.bm7fx,411
flare.HS,
flare.HS.G1,
flare.HS.G1.bb1ba,500
flare.IS,
flare.IS.G1,
flare.IS.G2,
flare.IS.G3,
flare.IS.G3.cm1d2,100
flare.IS.G3.cf1d2,250
flare.IS.G3.ce1d2,100
flare.IS.G3.bf1d2,100
flare.IS.G3.be1d2,100
flare.IS.G2.ff2c2,100
flare.IS.G2.fe2c2,25
flare.IS.G2.ck262,1083
flare.IS.G2.cf5c2,462
flare.IS.G2.ce5c2,100
flare.IS.G2.bp5c2,100
flare.IS.G2.bp262,100
flare.IS.G2.bk262,100
flare.IS.G2.bf5c2,100
flare.IS.G2.be5c2,100
flare.IS.G2.be262,100
flare.IS.G1.ed192,100
flare.IS.G1.bd192,100
flare.IS.G1.bd182,100
flare.LC,
flare.LC.G1,
flare.LC.G1.hp5ay,100
flare.LC.G1.hh5ay,100
flare.LFA,
flare.LFA.G1,
flare.LFA.G1.hx8bh,200
flare.LS,
flare.LS.G1,
flare.LS.G2,
flare.LS.G3,
flare.LS.G4,
flare.LS.G4.gl5ef,100
flare.LS.G4.gl46f,100
flare.LS.G4.gl1ef,100
flare.LS.G4.du46f,100
flare.LS.G4.du1ef,100
flare.LS.G4.dl5ef,100
flare.LS.G4.dl46f,100
flare.LS.G4.dl1ef,100
flare.LS.G4.cl5ef,192
flare.LS.G4.cl46f,100
flare.LS.G4.bl5ef,100
flare.LS.G4.bl46f,195
flare.LS.G4.bl1ef,100
flare.LS.G3.bn36f,250
flare.LS.G3.bn30f,250
flare.LS.G2.bh28f,100
flare.LS.G1.uf22e,100
flare.LS.G1.uf11e,100
flare.LX,
flare.LX.G1,
flare.LX.G2,
flare.LX.G3,
flare.LX.G3.hy7ax,104
flare.LX.G3.hy00w,100
flare.LX.G2.ht00w,400
flare.LX.G1.hj88j,50
flare.NX,
flare.NX.G1,
flare.NX.G1.ywrbz,100
flare.NX.G1.bjrbz,100
flare.NX.G1.yarbz,100
flare.NX.G1.barbz,1000
flare.RC,
flare.RC.G1,
flare.RC.G1.sm5bc,100
flare.RC.G1.se5bc,100
flare.RC.G1.hp5bc,100
flare.RC.G1.ba5bc,100
flare.RX,
flare.RX.G1,
flare.RX.G2,
flare.RX.G3,
flare.RX.G4,
flare.RX.G4.zzmca,100
flare.RX.G4.bzmca,300
flare.RX.G4.bgmca,100
flare.RX.G3.zk1ba,100
flare.RX.G3.zb1ba,100
flare.RX.G3.bk1ba,3785
flare.RX.G3.bc1ba,486
flare.RX.G2.hw31u,603
flare.RX.G2.hk31u,1704
flare.RX.G2.ha31u,1877
flare.RX.G2.gw31u,100
flare.RX.G2.gk31u,100
flare.RX.G2.ga31u,100
flare.RX.G1.hf10u,1266
flare.RX.G1.gf10u,100
flare.SC,
flare.SC.G1,
flare.SC.G2,
flare.SC.G2.fn48y,1000
flare.SC.G2.fn45y,100
flare.SC.G2.fn2ey,100
flare.SC.G1.uz30c,100
flare.SC.G1.jz31c,100
flare.SC.G1.js47e,100
flare.SC.G1.ch32y,100
flare.SC.G1.cd32z,100
